               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.041628,            0.043904,            0.018113,             0.67956,             0.75858,             0.79729,             0.45324,            0.046267,            0.049883,            0.016456,           0.0037128,           0.0037128,           0.0037128
                 128,            0.042156,            0.046238,             0.01797,             0.68227,             0.77071,             0.78575,             0.46086,            0.044356,            0.049367,            0.016399,           0.0036482,           0.0036482,           0.0036482
                 129,            0.041238,            0.044265,            0.018073,             0.66196,             0.77161,             0.79526,             0.46989,            0.043618,            0.048221,            0.016261,            0.003584,            0.003584,            0.003584
                 130,            0.047227,            0.044363,            0.018165,              0.6769,             0.77693,             0.81795,              0.4854,            0.043264,            0.048452,            0.016342,           0.0035203,           0.0035203,           0.0035203
                 131,            0.038987,            0.044104,            0.017623,             0.62789,             0.78603,             0.79951,             0.46392,            0.043651,            0.048545,            0.016307,            0.003457,            0.003457,            0.003457
                 132,            0.040358,             0.04428,            0.017228,             0.67224,             0.75068,             0.79577,             0.49574,             0.04283,            0.048495,            0.016637,           0.0033943,           0.0033943,           0.0033943
                 133,            0.040397,            0.044261,            0.017759,             0.69598,             0.74878,             0.79865,             0.48546,            0.042959,            0.048128,            0.016377,           0.0033321,           0.0033321,           0.0033321
                 134,            0.052086,            0.043735,            0.017121,             0.70603,             0.76733,             0.80468,              0.4917,            0.042791,            0.048726,            0.016552,           0.0032704,           0.0032704,           0.0032704
                 135,            0.046276,            0.041803,            0.017368,             0.65843,              0.8052,             0.81779,             0.48972,            0.043807,            0.048868,            0.016391,           0.0032093,           0.0032093,           0.0032093
                 136,            0.047955,            0.042859,            0.017603,             0.70233,             0.74329,             0.78984,             0.49198,            0.043159,            0.048748,            0.016394,           0.0031488,           0.0031488,           0.0031488
                 137,            0.046174,            0.042884,            0.017143,             0.71586,             0.76053,             0.80872,             0.50226,            0.043546,            0.048457,             0.01625,           0.0030888,           0.0030888,           0.0030888
                 138,            0.039847,            0.046448,            0.017366,             0.66748,               0.775,             0.79392,             0.52205,            0.042507,            0.048128,            0.016224,           0.0030294,           0.0030294,           0.0030294
                 139,            0.039663,            0.045358,             0.01716,             0.65263,             0.78674,             0.79726,             0.51122,            0.042697,             0.04791,            0.015937,           0.0029706,           0.0029706,           0.0029706
                 140,            0.039481,            0.044261,            0.016638,             0.65756,             0.79899,              0.8078,              0.5244,            0.042362,            0.047882,            0.015946,           0.0029125,           0.0029125,           0.0029125
                 141,            0.046347,            0.043628,             0.01754,             0.57168,             0.79335,             0.79514,              0.4606,            0.044304,            0.048869,            0.015935,            0.002855,            0.002855,            0.002855
                 142,            0.039588,            0.043644,            0.016737,             0.54923,             0.79196,             0.77826,             0.48219,            0.043523,            0.047738,            0.015984,           0.0027981,           0.0027981,           0.0027981
                 143,            0.044663,            0.041782,            0.015973,               0.566,             0.78113,             0.80904,             0.51113,            0.042495,            0.047225,            0.016001,           0.0027419,           0.0027419,           0.0027419
                 144,            0.040608,            0.044388,             0.01734,             0.66095,               0.775,             0.81976,             0.51554,            0.042955,            0.047407,            0.015877,           0.0026864,           0.0026864,           0.0026864
                 145,            0.046168,            0.043203,            0.016733,             0.67101,             0.77479,             0.81131,             0.51967,            0.042563,            0.047205,            0.015994,           0.0026316,           0.0026316,           0.0026316
                 146,            0.036867,            0.044138,            0.016163,             0.67715,               0.775,             0.81346,             0.51729,            0.042205,            0.046674,            0.015642,           0.0025775,           0.0025775,           0.0025775
                 147,            0.049413,            0.043319,             0.01624,             0.69069,             0.78633,             0.81657,             0.53378,            0.041941,            0.046456,            0.015484,           0.0025241,           0.0025241,           0.0025241
                 148,            0.039058,            0.045008,             0.01626,             0.70303,             0.78736,             0.80097,             0.51303,            0.041971,            0.046439,            0.015886,           0.0024714,           0.0024714,           0.0024714
                 149,            0.039563,            0.044037,            0.016489,             0.67893,              0.7917,             0.80645,              0.5041,            0.042551,            0.047054,            0.015935,           0.0024195,           0.0024195,           0.0024195
                 150,            0.038549,            0.040953,            0.016641,              0.6897,             0.77015,             0.81377,             0.52512,            0.042021,            0.046631,             0.01572,           0.0023684,           0.0023684,           0.0023684
